"新竹縣政府102年度對議員所提地方建設建議事項處理明細表"
"至102年12月止"
"單位：千元"
"核定金額","經費支用科目主辦機關招標方式","得標廠商"
"竹北市後備憲兵荷松協會充實設備(10-9)","竹北市","50","50","一般建築及設備其它","公共設施工程","竹北市公所","無","辦理中"
"新竹縣新豐鄉義警民防協會充實設備(18-26)","新豐鄉","72","72","一般建築及設備其它","公共設施工程","新豐鄉公所","無","辦理中"
"新竹縣新豐鄉長青環保協會充實設備(18-27)","新豐鄉","30","30","一般建築及設備其它","公共設施工程","新豐鄉公所","無","日新農"
"橫山鄉集會所冷氣設備(27-31)","橫山鄉","60","60","一般建築及設備其它","公共設施工程","橫山鄉公所","無","辦理中"
"竹東鎮陸豐社區發展協會電腦設備(29-21)","竹東鎮","30","30","一般建築及設備其它","公共設施工程","竹東鎮公所","逕洽廠商","連淵有限公司"
"湖口鄉中正社區發展協會駕駛式割草機設備(16-6)","湖口鄉","98","98","一般建築及設備其它","公共設施工程","湖口鄉公所","無","辦理中"
"新竹縣北埔鄉埔尾村.水磜村等裝設路燈工程(36-12",")","北埔鄉","50","50","一般建築及設備其它","公共設施工程","北埔鄉公所","無","文仁水電"
"新竹縣竹東鎮竹東國民小學增設冷氣設備(39-11)","竹東鎮","80","80","一般建築及設備其它","公共設施工程","竹東鎮公所","逕洽廠商","大上冷凍空調"
"新竹縣竹東鎮樹杞林客家文化協會充實設備(39-12)","竹東鎮","97","97","一般建築及設備其它","公共設施工程","竹東鎮公所","逕洽廠商","宇音音樂工作"
"五峰鄉花園段道路鋪設工程(39-14)","五峰鄉","93","93","一般建築及設備其它","公共設施工程","五峰鄉公所","辦理中","辦理中"
"尖石鄉新樂村農路除草工程(39-15)","尖石鄉","95","95","一般建築及設備其它","公共設施工程","尖石鄉公所","無","辦理中"
"尖石鄉新樂村煤源農路改善工程(39-16)","尖石鄉","95","95","一般建築及設備其它","公共設施工程","尖石鄉公所","無","辦理中"
"新竹縣立精華國民中學校園監視系統(11-7)","新豐鄉","25","25","一般建築及設備其它","公共設施工程","新豐鄉公所","逕洽廠商","北美電業社"
