"單位：千元"
" 核定金額","經","費","支","用","科","目","主","辦","機","關","招","標","方","式","得","標","廠","商"
"湖口鄉中正村集會所興建工程(13-1)","湖口鄉","1500","1500","一般建築及設備其它公共設施工程","湖口鄉公所","招標中"
"湖口鄉信義村集會所興建工程(13-2)","湖口鄉","1500","1500","一般建築及設備其它公共設施工程","湖口鄉公所","招標中"
"新竹縣竹北市中正國民小學活動中心屋頂隔熱防水工程(8-2)","竹北市","99","99","一般建築及設備其它公共設施工程","竹北市公所","逕洽廠商","康華工程行"
"新竹縣立新豐國民中學充實設備(19-2)","新豐鄉","12","12","一般建築及設備其它公共設施工程","新豐鄉公所","逕洽廠商","益興行"
"新豐鄉松林村老人會館整修(19-3)","新豐鄉","98","98","一般建築及設備其它公共設施工程","新豐鄉公所","逕洽廠商","騰璟工程"
"新豐鄉青埔村柏油路面加封工程(19-4)","新豐鄉","98","98","一般建築及設備其它公共設施工程","新豐鄉公所","逕洽廠商","田羅工程行"
"新豐鄉危險路段路燈加裝(19-5)","新豐鄉","98","98","一般建築及設備其它公共設施工程","新豐鄉公所","開口契約","秀星興業公司"
"新竹縣芎林鄉永興村辦公處充實設備(26-1)","芎林鄉","30","30","一般建築及設備其它公共設施工程","芎林鄉公所","共同供應","新技資訊"
"橫山鄉南昌集會所改善工程(27-1)","橫山鄉","50","50","一般建築及設備其它公共設施工程","橫山鄉公所","公開招標","全家土木包工"
"橫山鄉大肚村圍牆美化工程(27-2)","橫山鄉","55","55","一般建築及設備其它公共設施工程","橫山鄉公所","公開招標","全家土木包工"
"新竹縣竹東鎮二重國民小學飲水機設備(29-1)","竹東鎮","90","90","一般建築及設備其它公共設施工程","竹東鎮公所","辦理中","-"
"新竹縣政府103年度對議員所提地方建設建議事項處理明細表"
"至103年6月止"
"          (本表為半年報)"
"建","議","項","目","及","內","容","建","議","地","點"," 建議金額"
"核","定","情","形竹東鎮三重社區發展協會設備費(電腦.影印機)(29-3)","竹東鎮","90","90","一般建築及設備其它公共設施工程","竹東鎮公所","逕洽廠商","鉅瀚資訊"
"新竹縣消防局二重分隊不銹鋼欄杆工程(29-4)","竹東鎮","40","40","一般建築及設備其它公共設施工程","竹東鎮公所","逕洽廠商","中大工業社"
"竹東鎮體育會(桌球委員會)充實設備(30-1)","竹東鎮","0","0","一般建築及設備其它公共設施工程","竹東鎮公所","無","-"
"新竹縣政府警察局竹東方局充實辦公室設備(31-1)","竹東鎮","95","95","一般建築及設備其它公共設施工程","竹東鎮公所","逕洽廠商","家鄉企業"
"寶山鄉寶斗村1鄰新珊路428巷鋪設水泥路面工程(35-15)","寶山鄉","80","80","一般建築及設備其它公共設施工程","寶山鄉公所","逕洽廠商","大東工程"
"新竹縣政府警察局竹東方局辦公室裝修工程(31-2)","竹東鎮","97","97","一般建築及設備其它公共設施工程","竹東鎮公所","逕洽廠商","品舍室內裝修","設計","新竹縣義勇消防總隊南區大隊充實設備(33-1)","竹東鎮","95","95","一般建築及設備其它公共設施工程","竹東鎮公所","逕洽廠商","閎宥工程行"
"寶山鄉寶斗村6鄰寶斗路33號附近排水溝工程(35-1)","寶山鄉","90","90","一般建築及設備其它公共設施工程","寶山鄉公所","辦理中"
"寶山鄉大崎村大雅路2段388巷13弄附近路段鋪設柏油路面工程(35-2)","寶山鄉","90","90","一般建築及設備其它公共設施工程","寶山鄉公所","逕洽廠商","大展土木"
"寶山鄉三峰村新湖路4段156巷122號附近排水溝工程(35-3)","寶山鄉","90","90","一般建築及設備其它公共設施工程","寶山鄉公所","公開招標","辦理中"
"寶山鄉嵩翠路路段裝設路燈2盞(35-4)","寶山鄉","30","30","一般建築及設備其它公共設施工程","寶山鄉公所","開口契約","龍昌水電"
"寶山鄉油田村新湖路3段312巷18號附近柏油路面及擋土牆工程(35-5)","寶山鄉","90","90","一般建築及設備其它公共設施工程","寶山鄉公所","開口契約","龍昌水電"
"寶山鄉三峰村三峰路1段駁坎工程(35-6)","寶山鄉","300","300","一般建築及設備其它公共設施工程","寶山鄉公所","公開招標","辦理中"
"竹東鎮中興路2段297巷往寶山水庫支庫道路裝設路燈2盞(35-8)","竹東鎮","30","30","一般建築及設備其它公共設施工程","竹東鎮公所","開口契約","明成工程行竹東鎮中興路2段297巷往寶山水庫支庫道路小型工程(35-9)","竹東鎮","6","6","一般建築及設備其它公共設施工程","竹東鎮公所","逕洽廠商","佶帝工程"
"寶山鄉寶斗村4鄰寶深路50巷鋪設水泥路面工程(35-10)","寶山鄉","80","80","一般建築及設備其它公共設施工程","寶山鄉公所","逕洽廠商","大東工程"
"寶山鄉寶斗村6鄰寶斗路81號駁坎工程(35-11)","寶山鄉","80","80","一般建築及設備其它公共設施工程","寶山鄉公所","辦理中"
"寶山鄉寶斗村6鄰寶斗路涵管工程(35-12)","寶山鄉","80","80","一般建築及設備其它公共設施工程","寶山鄉公所","逕洽廠商","利逢營造"
"寶山鄉深井村7鄰雙林路2段涵管工程(35-13)","寶山鄉","80","80","一般建築及設備其它公共設施工程","寶山鄉公所","辦理中","-"
"寶山鄉寶斗村8鄰寶新路3段392巷涵管工程(35-14)","寶山鄉","80","80","一般建築及設備其它公共設施工程","寶山鄉公所","辦理中","-"
"竹北市社區道路監視系統設置(1-1)","竹北市","1000","1000","一般建築及設備其它公共設施工程","竹北市公所","辦理中"
"竹北市社區道路監視系統設置(1-2)","竹北市","1000","1000","一般建築及設備其它公共設施工程","竹北市公所","辦理中","-"
"竹北市社區道路監視系統設置(1-3)","竹北市","1000","1000","一般建築及設備其它公共設施工程","竹北市公所","辦理中"
"竹北市社區道路監視系統設置(1-4)","竹北市","1000","1000","一般建築及設備其它公共設施工程","竹北市公所","辦理中"
"竹北市社區道路監視系統設置(1-5)","竹北市","1000","1000","一般建築及設備其它公共設施工程","竹北市公所","辦理中"
"竹北市社區道路監視系統設置(1-6)","竹北市","1000","1000","一般建築及設備其它公共設施工程","竹北市公所","辦理中","-"
"竹北市社區道路監視系統設置(1-7)","竹北市","1000","1000","一般建築及設備其它公共設施工程","竹北市公所","辦理中","-"
"竹北市社區道路監視系統設置(1-8)","竹北市","1000","1000","一般建築及設備其它公共設施工程","竹北市公所","辦理中","-"
"竹北市社區道路監視系統設置(1-9)","竹北市","1000","1000","一般建築及設備其它公共設施工程","竹北市公所","辦理中","-"
"新豐鄉坡頭村駁坎及排水改善工程(17-1)","新豐鄉","95","95","一般建築及設備其它公共設施工程","新豐鄉公所","逕洽廠商","田羅工程行竹東鎮柯湖里柯湖路2段131巷177號駁坎暨排水溝工程(30-2)","竹東鎮","95","95","一般建築及設備其它公共設施工程","竹東鎮公所","公開招標","九洲土木"
"寶山鄉楓橋派出所旁擋土牆工程(30-3)","寶山鄉","95","95","一般建築及設備其它公共設施工程","寶山鄉公所","公開招標","辦理中"
"橫山鄉橫山村10鄰處擋土牆工程(1-10)","橫山鄉","80","80","一般建築及設備其它公共設施工程","橫山鄉公所","公開招標","全家土木包工"
"湖口鄉湖口村祥喜路325巷59號后坡坎坍方修建工程(11-1)","湖口鄉","99","99","一般建築及設備其它公共設施工程","湖口鄉公所","辦理中"
"新豐鄉青埔村8鄰駁坎工程(20-1)","新豐鄉","98","98","一般建築及設備其它公共設施工程","新豐鄉公所","逕洽廠商","梅丹工程"
"關西鎮東山里14鄰排水溝工程(21-1)","關西鎮","98","98","一般建築及設備其它公共設施工程","關西鎮公所","辦理中","-"
"關西鎮石光里10鄰排水溝工程(21-2)","關西鎮","98","98","一般建築及設備其它公共設施工程","關西鎮公所","逕洽廠商","九洲營造"
"芎林鄉公所充實設備(26-2)","芎林鄉","30","30","一般建築及設備其它公共設施工程","芎林鄉公所","逕洽廠商","華克電腦"
"橫山鄉力行村11鄰新設鐵橋工程(27-3)","橫山鄉","90","90","一般建築及設備其它公共設施工程","橫山鄉公所","公開招標","全家土木包工"
"寶山鄉楓橋派出所旁擋土牆工程(29-5)","寶山鄉","95","95","一般建築及設備其它公共設施工程","寶山鄉公所","公開招標","辦理中"
"新竹縣政府警察局竹東分局增設辦公宿舍家俱設備(31-3)","竹東鎮","42","42","一般建築及設備其它公共設施工程","竹東鎮公所","逕洽廠商","順發地毯藤具","大賣場","新竹縣北埔鄉大坪國民小學增設音樂教室樂器架(櫃)(31-4)","北埔鄉","93","93","一般建築及設備其它公共設施工程","北埔鄉公所","逕洽廠商","智翔工程"
"新竹縣湖口鄉新湖國民小學冷氣設備(12-1)","湖口鄉","99","99","一般建築及設備其它公共設施工程","湖口鄉公所","逕洽廠商","德全電業"
"湖口鄉德盛村柏油路面工程(16-2)","湖口鄉","200","200","一般建築及設備其它公共設施工程","湖口鄉公所","公開招標","毅安營造"
"新竹縣湖口鄉新湖國民小學充實健康中心設施(全自動體外心臟除顫器)(16-3)","湖口鄉","96","96","一般建築及設備其它公共設施工程","湖口鄉公所","逕洽廠商","新光電通公司"
"新埔鎮南平里248巷段路面改善工程(23-1)","新埔鎮","90","90","一般建築及設備其它公共設施工程","新埔鎮公所","逕洽廠商","易明土木新埔鎮照門里照鏡8鄰水泥路面加封工程(23-2)","新埔鎮","90","90","一般建築及設備其它公共設施工程","新埔鎮公所","逕洽廠商","育杰營造"
"新埔鎮照門里6鄰產業道路加封水泥路面工程(23-3)","新埔鎮","80","80","一般建築及設備其它公共設施工程","新埔鎮公所","逕洽廠商","育杰營造"
"關西鎮新力里5鄰產業道路加封水泥路面工程(23-4)","關西鎮","200","200","一般建築及設備其它公共設施工程","關西鎮公所","公開取得報","價單","招標中"
"新埔鎮旱坑社區發展協會充實設備(23-5)","新埔鎮","150","150","一般建築及設備其它公共設施工程","新埔鎮公所","共同供應","淨寶電器行"
"新埔鎮照門里照鏡12鄰施設駁坎工程(23-6)(註銷)","新埔鎮","0","0","一般建築及設備其它公共設施工程","新埔鎮公所","-"
"新埔鎮南平里南平路277巷擋土牆工程(23-7)","新埔鎮","100","100","一般建築及設備其它公共設施工程","新埔鎮公所","逕洽廠商","易明土木"
"新埔鎮五埔里石坑段排水溝工程(23-8)","新埔鎮","200","200","一般建築及設備其它公共設施工程","新埔鎮公所","公開招標","辦理中"
"橫山鄉力行村水溝清理(27-4)","橫山鄉","25","25","一般建築及設備其它公共設施工程","橫山鄉公所","逕洽廠商","協豐營造"
"橫山鄉力行村3鄰路燈工程(27-5)","橫山鄉","8","8","一般建築及設備其它公共設施工程","橫山鄉公所","逕洽廠商","盛良水電"
"新竹縣湖口鄉新湖國民小學設備費(28-1)","湖口鄉","55","55","一般建築及設備其它公共設施工程","湖口鄉公所","逕洽廠商","世醫股份公司"
"寶山鄉三峰村峰城路8巷附近駁坎工程(35-16)","寶山鄉","200","200","一般建築及設備其它公共設施工程","寶山鄉公所","公開招標","辦理中"
"寶山鄉山湖村山仙路211巷附近鋪設水泥路面及駁坎工程(35-17)","寶山鄉","80","80","一般建築及設備其它公共設施工程","寶山鄉公所","逕洽廠商","甲吉土木"
"尖石鄉新樂村八五山神愛教會籃球場路燈裝設工程(38-1)","尖石鄉","20","20","一般建築及設備其它公共設施工程","尖石鄉公所","逕洽廠商","文明水電"
"尖石鄉秀巒村10鄰錦路部落(上隘高分20號)路燈裝設工程(38-2)","尖石鄉","20","20","一般建築及設備其它公共設施工程","尖石鄉公所","逕洽廠商","文明水電"
"新竹縣竹北市十興國民小學工程款(8-3)","竹北市","150.3","150.3","一般建築及設備其它公共設施工程","竹北市公所","辦理中","-新竹縣新豐鄉忠孝社區發展協會充實設備(18-3)","新豐鄉","95","95","一般建築及設備其它公共設施工程","新豐鄉公所","逕洽廠商","澄銓科技"
"新竹縣新豐鄉松林國民小學高壓磚整修工程(19-6)","新豐鄉","60","60","一般建築及設備其它公共設施工程","新豐鄉公所","辦理中","-"
"新竹縣竹北市十興國民小學充實設備(33-2)","竹北市","30","30","一般建築及設備其它公共設施工程","竹北市公所","逕洽廠商","國新電腦公司"
"五峰鄉竹林段146地號飲水設施(39-1)","五峰鄉","100","100","一般建築及設備其它公共設施工程","五峰鄉公所","公開招標","招標中"
"五峰鄉竹林段418-2號飲水設施(39-2)","五峰鄉","100","100","一般建築及設備其它公共設施工程","五峰鄉公所","辦理中","-"
"竹東鎮上坪段125-41號截水溝工程(39-3)","竹東鎮","95","95","一般建築及設備其它公共設施工程","竹東鎮公所","逕洽廠商","九洲土木"
"新埔鎮鹿鳴里集會所裝設鐵門窗設備(1-11)","新埔鎮","98","98","一般建築及設備其它公共設施工程","新埔鎮公所","辦理中","-"
"新竹縣湖口鄉中興國民小學教學大樓坡道改善工程(12-2)","湖口鄉","95","95","一般建築及設備其它公共設施工程","湖口鄉公所","辦理中","-"
"新竹縣消防局義消救護大隊充實設備(10-5)","竹北市","50","50","一般建築及設備其它公共設施工程","竹北市公所","逕洽廠商","瑋振資訊"
"新竹縣新豐鄉松林社區發展協會(長壽俱樂部)充實設備(18-4)","新豐鄉","95","95","一般建築及設備其它公共設施工程","新豐鄉公所","逕洽廠商","大溪地科技"
"新豐鄉青埔村6鄰路樹修剪(18-5)","新豐鄉","90","90","一般建築及設備其它公共設施工程","新豐鄉公所","逕洽廠商","梅丹工程"
"關西鎮玉山里2鄰羅國政宅旁聯絡道路鋪設柏油路面(22-1)","關西鎮","90","90","一般建築及設備其它公共設施工程","關西鎮公所","逕洽廠商","龍騰土木包工"
"新埔鎮文山里文山路317巷16鄰田博文宅前輫水溝工程(23-9)","新埔鎮","0","0","一般建築及設備其它公共設施工程","新埔鎮公所","辦理中"
"新埔鎮新北里1鄰陳耀輝宅前護欄工程(23-10)","新埔鎮","90","90","一般建築及設備其它公共設施工程","新埔鎮公所","逕洽廠商","昀宜營造"
"新埔鎮清水里2鄰羅宅旁擋土牆工程(23-11)","新埔鎮","90","90","一般建築及設備其它公共設施工程","新埔鎮公所","逕洽廠商","昀宜營造新埔鎮新北里路燈1盞(23-12)","新埔鎮","20","20","一般建築及設備其它公共設施工程","新埔鎮公所","開口契約","坤和工程"
"新竹縣尖石鄉玉峰國民小學充實設備(35-19)","尖石鄉","70","70","一般建築及設備其它公共設施工程","尖石鄉公所","逕洽廠商","一級棒運動用","品社","新竹縣北埔鄉南埔社區發展協會充實社區設備費(36-1)","北埔鄉","98","98","一般建築及設備其它公共設施工程","北埔鄉公所","逕洽廠商","卡本特國際公","司","新埔鎮鹿鳴里集會所裝設鐵門窗設備(2-1)","新埔鎮","100","100","一般建築及設備其它公共設施工程","新埔鎮公所","辦理中","-"
"關西鎮石光里石岡子300巷工程款(2-2)","關西鎮","95","95","一般建築及設備其它公共設施工程","關西鎮公所","逕洽廠商","康基土木包工"
"新豐鄉新豐村11鄰駁坎工程(20-3)","新豐鄉","99","99","一般建築及設備其它公共設施工程","新豐鄉公所","逕洽廠商","田羅工程行"
"新竹縣寶山鄉寶山村新湖路駁坎及擋土牆工程(35-20)","寶山鄉","80","80","一般建築及設備其它公共設施工程","寶山鄉公所","公開招標","辦理中"
"新竹縣政府警察局資訊室資訊安全加密系統建置(1-12)","竹北市","600","600","一般建築及設備其它公共設施工程","竹北市公所","辦理中","-"
"新竹縣竹北市十興國民小學工程費(1-13)(廁所抽風機及加裝定時器)","竹北市","135","135","一般建築及設備其它公共設施工程","竹北市公所","逕洽廠商","詠大消防安全","設備","新竹縣竹北市十興國民小學充實設備(1-14)","竹北市","350","350","一般建築及設備其它公共設施工程","竹北市公所","辦理中","-"
