新竹市政府103年度對議員所提地方建設建議事項處理明細表,,,,,,,,
至 103 年 6 月止,,,,,,,,
表4,(本表為半年報),,,,,,,單位：千元
議員姓名,建議項目及內容,建議地點,建議金額,核定情形,,,,
,,,,核定金額,經費支用科目,主辦機關,招標方式,得標廠商
 余邦彥議員 ,新竹市東區公園社區活動中心安全門修繕工程, 公園社區活動中心 ,74 ,74 , 其他公共工程-設備及投資 , 工務處 , 小額採購 , 利可有限公司 
 張祖琰議員 ,水源國小會議室天花板改善工程, 水源國小 ,97 ,97 , 其他公共工程-設備及投資 , 水源國小 , 小額採購 , 萬橙室內裝修工程有限公司 
 林漢淇議員 ,香山國小防護網工程, 香山國小 ,97 ,97 , 其他公共工程-設備及投資 , 香山國小 , 小額採購 , 祥富工業社 
 鍾淑英議員 ,光武國中舞台布幕油漆工程, 光武國中 ,210 ,203 , 其他公共工程-設備及投資 , 工務處 , 小額採購 , 羽振企業有限公司 
 林漢淇議員 ,朝山國小學校設施修繕工程, 朝山國小 ,100 ,97 , 其他公共工程-設備及投資 , 朝山國小 , 小額採購 , 祥富工業社 
 林漢淇議員 ,培英國中地坪改善工程, 培英國中 ,98 ,95 , 其他公共工程-設備及投資 , 培英國中 , 小額採購 , 欽隆土木包業 
 彭昆耀議員 ,新竹市南寮義消分隊辦公室改善工程, 南寮義消 ,99 ,96 , 其他公共工程-設備及投資 , 南寮義消 , 小額採購 , 棕億石業行 
 曾資程議員 ,建華國中布告欄工程, 建華國中 ,96 ,93 , 其他公共工程-設備及投資 , 建華國中 , 小額採購 , 大鋮企業有限公司 
 鄭成光議員 ,內湖國小幼兒園天溝檢修工程, 內湖國小 ,99 ,96 , 其他公共工程-設備及投資 , 內湖國小 , 小額採購 , 詠拓營造事業有限公司 
 吳青山議員 ,民富國小地下室網屋新建工程, 民富國小 ,99 ,96 , 其他公共工程-設備及投資 , 內湖國小 , 小額採購 , 登豐運動工程有限公司 
 謝文進議長 ,虎林國中圖書室隔間工程, 虎林國中 ,98 ,94 , 其他公共工程-設備及投資 , 虎林國中 , 小額採購 , 大鋮企業有限公司 
 鍾淑英議員 ,建功高中電動鐵捲門工程, 建功高中 ,96 ,93 , 其他公共工程-設備及投資 , 建功高中 , 小額採購 , 凱仕達企業有限公司 
 林耕仁議員 ,新竹市警察局櫥櫃工程, 警察局 ,100 ,97 , 其他公共工程-設備及投資 , 警察局 , 小額採購 , 大晶木業開發有限公司 
 陳文正議員 ,東門國小牆面裝置藝術工程, 東門國小 ,100 ,97 , 其他公共工程-設備及投資 , 東門國小 , 小額採購 , 威光廣告社 
 吳國寶議員 ,虎林國小人行道工程, 虎林國小 ,100 ,97 , 其他公共工程-設備及投資 , 虎林國小 , 小額採購 , 華城土木包工業 
 鄭正宗議員 ,台溪里小型工程, 台溪里 ,100 ,97 , 其他公共工程-設備及投資 , 北區區公所 , 小額採購 , 捷登企業社 
 孫鍚洲副議長 ,新竹市地政事務所整修工程, 新竹地政事務所 ,99 ,96 , 其他公共工程-設備及投資 , 新竹地政事務所 , 小額採購 , 宥鑫企業社等 
 余邦彥議員 ,新竹市文華派出所屏風裝修工程, 第二分局文華派出所 ,99 ,96 , 其他公共工程-設備及投資 , 文華派出所 , 小額採購 , 中華台一通訊有限公司 
 鄭正鈐議員 ,龍山國小校園廣播等工程, 龍山國小 ,52 ,50 , 其他公共工程-設備及投資 , 龍山國小 , 小額採購 , 立行企業有限公司 
 謝希誠議員 ,東園國小勤學樓遮雨棚工程, 東園國小 ,200 ,143 , 其他公共工程-設備及投資 , 東園國小 , 公開招標 , 東誠企業社 
 林漢淇議員 ,朝山國小教室門鎖等工程, 朝山國小 ,100 ,97 , 其他公共工程-設備及投資 , 朝山國小 , 小額採購 , 祥富工業社 
 林漢淇議員 ,富禮國中辦公環境改善工程, 富禮國中 ,250 ,211 , 其他公共工程-設備及投資 , 富禮國中 , 公開招標 , 富業喜企業有限公司 
 鍾淑英議員 ,建華國中活動中心照明工程, 建華國中 ,100 ,97 , 其他公共工程-設備及投資 , 建華國中 , 小額採購 , 苗鳳水電工程有限公司 
 林耕仁議員 ,內湖國小天花板整修工程, 內湖國小 ,99 ,96 , 其他公共工程-設備及投資 , 內湖國小 , 小額採購 , 詠拓營造事業有限公司 
 曾資程議員 ,東園國小百葉更新工程, 東園國小 ,100 ,97 , 其他公共工程-設備及投資 , 東園國小 , 小額採購 , 仕哲企業有限公司 
 賀玉燕議員 ,富禮國中改善鐵門等工程, 富禮國中 ,96 ,92 , 其他公共工程-設備及投資 , 富禮國中 , 小額採購 , 富鑫企業社 
 段孝芳議員 ,培英國中育嬰室及隔間工程, 培英國中 ,98 ,95 , 其他公共工程-設備及投資 , 培英國中 , 小額採購 , 金晟工程有限公司 
合          計,,," 2,953 "," 2,788 ",,,,
